time,open,high,low,close
2023-12-20 04:00:00+00:00,2185.45166015625,2213.97998046875,2184.07861328125,2213.88818359375
2023-12-20 05:00:00+00:00,2213.949462890625,2214.118896484375,2202.869384765625,2208.70947265625
2023-12-20 06:00:00+00:00,2208.978759765625,2220.65478515625,2204.363037109375,2204.363037109375
2023-12-20 07:00:00+00:00,2204.9794921875,2215.8798828125,2202.951171875,2215.8798828125
2023-12-20 08:00:00+00:00,2216.75048828125,2217.105712890625,2207.35791015625,2208.800537109375
2023-12-20 09:00:00+00:00,2208.31884765625,2220.8935546875,2207.596923828125,2214.29345703125
2023-12-20 10:00:00+00:00,2214.48095703125,2222.979248046875,2212.14501953125,2217.5400390625
2023-12-20 11:00:00+00:00,2218.9970703125,2218.9970703125,2205.998779296875,2210.197509765625
2023-12-20 12:00:00+00:00,2210.35888671875,2212.986328125,2204.059814453125,2212.06591796875
2023-12-20 13:00:00+00:00,2212.029541015625,2248.313720703125,2212.029541015625,2248.313720703125
2023-12-20 14:00:00+00:00,2247.117431640625,2263.3291015625,2233.161376953125,2241.774169921875
2023-12-20 15:00:00+00:00,2241.864990234375,2256.1689453125,2238.311279296875,2245.7900390625
2023-12-20 16:00:00+00:00,2246.58203125,2249.951904296875,2217.765380859375,2219.556884765625
2023-12-20 17:00:00+00:00,2223.14501953125,2234.84521484375,2223.14501953125,2231.51904296875
2023-12-20 18:00:00+00:00,2231.677734375,2238.139892578125,2223.816650390625,2226.934814453125
2023-12-20 19:00:00+00:00,2225.952880859375,2228.036376953125,2198.29052734375,2208.439697265625
2023-12-20 20:00:00+00:00,2205.4130859375,2206.6259765625,2161.21875,2185.333740234375
2023-12-20 21:00:00+00:00,2183.39990234375,2192.883056640625,2174.86474609375,2178.0048828125
2023-12-20 22:00:00+00:00,2179.8662109375,2198.076416015625,2178.749267578125,2193.271728515625
2023-12-20 23:00:00+00:00,2192.891357421875,2199.7783203125,2186.007568359375,2199.7783203125
2023-12-21 00:00:00+00:00,2201.206298828125,2201.206298828125,2192.641357421875,2192.641357421875
2023-12-21 01:00:00+00:00,2192.710205078125,2193.96630859375,2184.856689453125,2193.625732421875
2023-12-21 02:00:00+00:00,2193.7275390625,2201.208984375,2187.17919921875,2191.606689453125
2023-12-21 03:00:00+00:00,2191.88330078125,2201.519287109375,2190.59130859375,2201.32470703125
2023-12-21 04:00:00+00:00,2201.489501953125,2204.715576171875,2199.850341796875,2200.33056640625
2023-12-21 05:00:00+00:00,2200.225830078125,2204.052490234375,2193.08642578125,2194.51416015625
2023-12-21 06:00:00+00:00,2194.6357421875,2215.58251953125,2193.68017578125,2215.58251953125
2023-12-21 07:00:00+00:00,2214.232421875,2218.499267578125,2210.989990234375,2215.25048828125
2023-12-21 08:00:00+00:00,2215.153564453125,2219.503173828125,2210.68505859375,2211.4541015625
